# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface

福建移动,#genre
CCTV-1综合,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$!
CCTV-2财经,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$!
CCTV-3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$!
CCTV-4国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$!
CCTV-5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$!
CCTV-5+赛事,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8$!
CCTV-6电影,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$!
CCTV-7军事,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$!
CCTV-8电视,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$!
CCTV-9纪录,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$!
CCTV-10科教,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8$!
CCTV-11戏曲,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8$!
CCTV-12社法,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8$!
CCTV-13新闻,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$!
CCTV-14少儿,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8$!
CCTV-15音乐,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8$!
CCTV-16奥匹,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8$!
CCTV-17农村,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8$!
黑龙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8$!
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8$!
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8$!
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8$!
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8$!
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8$!
上海卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u$!
福建卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8$!
西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8$!
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8$!
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8$!
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8$!
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8$!
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8$!
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8$!
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8$!
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8$!
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8$!
山西卫视,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8$!
吉林卫视,http://39.134.67.108/PLTV/88888888/224/3221226013/1.m3u8$!
海南卫视,http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8$!
广西卫视,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8$!
北京卫视,http://39.134.65.179/PLTV/88888888/224/3221225678/1.m3u8$!
北京卫视,http://39.134.65.173/PLTV/88888888/224/3221225678/1.m3u8$!
山东卫视,http://39.134.65.141/PLTV/88888888/224/3221225952/1.m3u8$!
江苏卫视,http://39.134.65.175/PLTV/88888888/224/3221225503/1.m3u8$!
江苏卫视,http://39.134.65.181/PLTV/88888888/224/3221225503/1.m3u8$!
江苏卫视,http://39.134.65.183/PLTV/88888888/224/3221225503/1.m3u8$!
江苏卫视,http://39.134.65.173/PLTV/88888888/224/3221225503/1.m3u8$!
上海卫视,http://39.134.65.179/PLTV/88888888/224/3221225672/1.m3u8$!
上海卫视,http://39.134.65.173/PLTV/88888888/224/3221225672/1.m3u8$!
上海卫视,http://39.134.65.175/PLTV/88888888/224/3221225672/1.m3u8$!
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225514/1.m3u8$!
浙江卫视,http://39.134.65.175/PLTV/88888888/224/3221225514/1.m3u8$!
浙江卫视,http://39.134.65.179/PLTV/88888888/224/3221225514/1.m3u8$!
浙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225514/1.m3u8$!
湖北卫视,http://39.134.65.162/PLTV/88888888/224/3221225569/1.m3u8$!
湖南卫视,http://39.134.65.181/PLTV/88888888/224/3221225506/1.m3u8$!
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225506/1.m3u8$!
湖南卫视,http://39.134.65.183/PLTV/88888888/224/3221225506/1.m3u8$!
湖南卫视,http://39.134.65.175/PLTV/88888888/224/3221225506/1.m3u8$!
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8$!

